subID,fileID,onset1_transcription_time,onset1_system_time,onset1_frame,offset1_transcription_time,offset1_system_time,offset1_frame,word1,utterances1,source_video_path,source_audio_path,extract_range_onset
1201,__20161026_18625,359.333492,118.300492,2650,360.317784,119.284784,2680,car,here is another car,C:\bell\multiwork\experiment_12\included\__20161026_18625\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20161026_18625\speech_r\cam06.wav,8131
1201,__20161026_18625,652.499624,411.466624,11445,654.401314,413.368314,11502,car,there is snow here is a car,C:\bell\multiwork\experiment_12\included\__20161026_18625\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20161026_18625\speech_r\cam06.wav,8131
1201,__20161026_18625,689.797603,448.764603,12564,691.145032,450.112032,12604,car,and a car,C:\bell\multiwork\experiment_12\included\__20161026_18625\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20161026_18625\speech_r\cam06.wav,8131
1202,__20151217_16963,301.035707,33.002707,91,301.782282,33.749282,113,car,car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,322.437529,54.404529,733,323.211755,55.178755,756,car,is that a car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,325.138103,57.105103,814,326.437697,58.404697,853,car,no can you say car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,414.902249,146.869249,3507,415.602739,147.569739,3528,car,another car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,418.80103,150.76803,3624,420.045322,152.012322,3661,car,i have a car too,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,420.690511,152.657511,3681,421.741246,153.708246,3712,car,we have two car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,699.27366,431.24066,12038,700.140056,432.107056,12064,car,fix the car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
1202,__20151217_16963,708.914619,440.881619,12327,709.817882,441.784882,12355,car,and the car,C:\bell\multiwork\experiment_12\included\__20151217_16963\cam07_frames_p,C:\bell\multiwork\experiment_12\included\__20151217_16963\speech_r\__20151217_16963_cam03.wav,8941
